category	title	review
Kitchen	Cake Boss Nylon Tools and Gadgets Cake Server, Red	Best serving tool. No scratches and very solid. Bought for myself and for a friend. We both love it.
Jewelry	Michley Always in My Heart Urn Locket Jewelry Memorial Necklace Stainless Steel Silver	They are beautiful.  Thank you for sending them promptly. They were for my granddaughters to keep their mom close. They each love there pendant.
Kitchen	New Star 46144 Polycarbonate Plastic Tapered Style Restaurant Water Pitcher, 60-Ounce, Clear	great
Kitchen	StarPack Premium Silicone Kitchen Tongs 9-Inch, Non-Stick Friendly, Bonus 101 Cooking Tips	Exactly as advertised.  These tongs have a good weight to them and I love the silicone lining to prevent burns.  Highly recommended.
Jewelry	Hip Mall Vintage Choker Punk Emo O-ring Leather Collar Necklace	Fit perfectly but came in creased in half on one end so the choker is permanently bend out of shape and looks ugly and damaged in that one spot.
Jewelry	Chisel Stainless Steel Polished CZ Ring	Nice ring<br />Solid built
Jewelry	"SHINYSO Stainless Steel Silver Women's & Men's Fashion ""Lingering Love Cross""Couple Pendant Necklace Set"	Love them.
Jewelry	1.07ct. Natural Amethyst 925 Sterling Silver Filigree Triquetra Celtic Knot Eternity Ring	Arrived on time and is just as pictured. I have yet to take it off.
Jewelry	Betsey Johnson Women's Gifting Tiara Pin Pendant Necklace Siam Pendant Necklace	The pin is pretty, but the center red stone is severely off center.  It is as if it were glued on and slid 1/2 way off.  I don't know how that could have gone unnoticed.  I'm afraid if I pull the stone off to re-set, it will remove the stone's backing.
Kitchen	Cuisinart ICE-70 Electronic Ice Cream Maker, Brushed Chrome	This ice cream maker is super easy to operate and I am so very pleased with how fast and good it freezes ice cream. I love that there is no mess with ice and salt!  I feel, your recipe will determine how hard or soft your ice cream ends up.  I used a recipe that I got years ago from milnot milk and it froze very nicely.  I was able to dip it and it hold shape by the time it was frozen!  You can see the ice cream churning and getting thick.  I like that I can add choc chips, nuts, coconut, or such towards the end through the opening in the lid... and the added bonus for me is being able to sneak a spoonful while it is freezing.  I read reviews about it being loud... I do agree-- it is loud, but it's worth it!  I like that it makes a small batch when it's just for me and my husband, but I do wish I could buy it in a bigger size too to use for family gatherings. You can buy extra bowls to keep in the freezer and make one batch after the other, but that doesn't serve everyone fresh ice cream at the same time.  I have to mention that I did buy some of the 6 oz tovolo ice cream containers to freeze leftovers in. While 6 oz may seem small, it is a nice portion to satisfy a sweet tooth without a ton of calories! When you are ready to eat one of them, the silicone lid stays soft and comes off easy.  If you let the ice cream set at room temp for just a few minutes (maybe 4-5 min) your spoon will dip in more easily.  I have even microwaved it for 10 seconds and that works great too.  I highly recommend this Ice Cream Maker... we use ours often!
Kitchen	Tovolo Ice Molds.	Really happy with these ice molds. They work exactly as advertised, and I really enjoy having a chilled glass of bourbon without the drink being totally watered down by regular ice cubes.
Kitchen	Aroma AWK-125S Hot H20 X-Press 7-Cup Electric Water Kettle	Most unreliable product I have ever used
Jewelry	16g 16 gauge 32mm surgical steel Industrial barbells Bars ear plugs rings bar black lot AIMX Piercing 2Pcs	Perfect size, anodizing seems to be good quality! Very nice product for the money!
Kitchen	Beistle 60633-16 Glittered Metal 16 Tiara Party Décor	Looks exactly like picture, glitter is a little messy but it served its purpose!
Jewelry	316L Surgical Steel Vine Wrapped Oval Cat Eye Stone Dangle Navel Ring, Aqua; sold individually	A++
Jewelry	1 Carat Radiant CZ Sterling Silver 925 Wedding Engagement Ring Band Set Sizes 4 to 11	Very happy with it
Jewelry	"Solid 14k Yellow Gold 2mm Clear Cubic Zirconia L Shaped Nose Ring 18 Gauge 1/4"""	Beautiful nose ring I order an 18 gauge which is what I wear, but I seems a lil long to me, although it hasn't come out.. Over all it's beautiful!!!!!
Jewelry	A Sodalite Sagittarius Lucky Astrological Rune Pendant Necklace	Very good
Kitchen	Gusteaux Quadghetti Spiralizer - High Quality Handheld Vegetable Spiral Slicer Bundle with 4 Removable Stainless Steel Blades - Best Zucchini Noodle (Zoodle), Julienne & Veggie Pasta Maker	Seems very nice, easy to use. Not as big as expected, though.  Storage pouch smells like fresh tar so that will be discarded.
Jewelry	Attmu 3 Pack Paracord Survival Bracelet Outdoor Emergency Paracord Bracelet with Fire Starter Compass Whistle	Absolutely beautiful.  I was very surprised how shiny and nicely made this bracelet is.  It makes such a nice gift also.
Kitchen	NIFTY 6145 Nespresso Vertuoline Capsule Drawer for Coffee Machines, Black	Perfect and neat!
Kitchen	Obol - The Original Never Soggy Cereal Bowl / With The Spiral Slide Design 'n Grip - Lg Pink	Best thing ever it usually takes me a long time to finish my cereal so the fact that I can keep it from getting soggy is the best great product
Jewelry	Charismatic Charm Star Belly Chain	Love it and arrived quickly! Thank you!
Kitchen	Keurig K550 Coffee Maker Single Serve 2.0 Brewing System with Top Needle Cleaning Maintenance Accessory and My K-Cup Reusable Coffee Filter, Platinum	I love the Keurig system and have been using it for so long now at work, at my leasing office, at other people's events. I finally got my own and it is a gem to have- quick, easy, convenient, reliable, and i love that you can brew any type of coffee you want (preferably starbucks). It is just so handy! And it helps me stay awake, stay focused, and get my day or night going depending on what type of work I have to do. I would 100% recommend anyone to buy this machine, and keep the love for coffee and tea alive! Also,Thanks, Keurig, for the free pods for this review!
Kitchen	T-Fal/Wearever 9664000A Jelly Strainer	I read all the reviews.  There is nothing wrong with this item.  It is what it is and saying that its just a described it works great, I'm using it for more than just making Jelly I'm not a avid cook and its just great for me,  don't know what other people were expecting.  I'm very pleased.  Came with other items but still came early.
Kitchen	Cuisinairre Bubble 21-Inch Clear Plastic Bubble for Cotton Candy Floss Machine	If fits well with the machine, but, it makes such a horrible noise. I have to put paper around the base so it would make a quiter noise. Also, for a brand new item, its all scratch and looks foggy on the top.  I had to ship it to my best friend's house in Florida in order to get it here to Puerto Rico.  Honestly, noth worth a $100.00 dollars.
Kitchen	Brentwood KT1785 Stainless Steel Electric Tea Kettle, 1.5-Liter, Red	Perfect. Fast. Love the color. Still working after 2 years (used two times per days)
Jewelry	14k Yellow Gold and White Gold Heart Children Screwback Baby Girls Stud Earrings	escelent
Jewelry	3 Layers Chain Circle Chunky Collar Bib Statement Necklace Pendant X75K03	Wasted my money, the first time I worn it , it fell apart and started changing color  immediately I know it was cheap but OMG in a few hours and gone not even a week I got to use it.
Jewelry	Belly Button Ring Navel 316L Surgical Steel, Logo, Dangle, Batman Body Jewelry	Made my belly button super infected and it started rejecting, I had to take it out and now I have a gross scar. Don't put colored metal in your belly before a year. The shape of the ring was so weird too.
Jewelry	The SAK Metal Crochet Drop Earrings	These are so beautiful and I love to wear them. The silver is etched clearly and the contrasting black makes the earrings the only jewelry you need to wear.
Jewelry	Sterling Silver Celtic Cross Pendant Necklace	This is a good piece of necklace. Wont' lose it. Thanks!
Kitchen	Paderno World Cuisine Spiral Vegetable Slicer / Countertop-Mounted Plastic Spiralizer Basic incl. 3 Different Blades Made of Stainless Steel	I think this was a great product with some flaws, I tried a zucchini, and in the end it worked great however it was hard to get it to stay on the prongs, and get it going to slice.  The blades are sharp and it is better then the hand held version.  I thought it was difficult to stabilize the fruit while pushing and turning the handle to cut.  I wouldn't say it is a loss though and will use this again and again.  I am sure once I get the hang of it it will be much easier. So dependng on what you want to use it for, I do recommend this product!
Kitchen	Blue Donuts Clear Bread/Food bags - 100 bags including twist ties	I first did a very negative review of this product thinking they were way too small for my bread machine bread. However, I just realized that I had not opened the bag completely. They are perfect! I am so happy to have found a bag big enough for bread machine bread. Sorry if my first post made you had orate to order.
Jewelry	Pandora Bead Inner Radiance Golden and Clear CZ 791370CCZ	Very share
Jewelry	Pink AB Rhinestone Small Round Gold Tone Stud Post Earrings	These are even more beautiful in person.They shine and sparkle and look so beautifully vintage. They come with bullet clutch earring backs. They have stayed in with no problems. This photo doesn't do them justice. If you are looking for something unique and special, these are it!<br /><br />**I received these for a discount in exchange for my unbiased review**
Jewelry	Sannysis Infinity Love Heart Key Lock Friendship Antique Leather Charm Bracelet	5 stars, looks just like the  picture and fast delivery thank you
Kitchen	Smilism Diaper Bag	Very well made and does an excellent job and is easy on my hands.  I have arthritis and do not have a lot of strength in my hands any more.  I plan on hand washing to maintain the beautiful finish although it indicates dishwasher safe.  I shopped for quite awhile and chose this one pacifically because the handles do not  totally chose together which helps because closing my hand is difficult anymore.  I also like the larger bowl sometimes lemons can be quite large.
Kitchen	OXO SteeL Garlic Press, Stainless	It is pretty to look at and sturdy.  However, the garlic chamber is a little small (holds only one clove at a time) and the handles have seams which allow them to fill with water when you wash it.  I love OXO, so it won't stop me from trying and buying other products, but if I had known these two things about this garlic press, I wouldn't have ordered it.
Kitchen	EatSmart Precision Pro Digital Kitchen Scale, White	love it!
Jewelry	SilberDream Charm apple, 925 Sterling Silver Charms Pendant with Lobster Clasp for Charms Bracelet, Necklace or Charms Carrier FC3109	Kind of cheap looking and looks more like a cherry.
Kitchen	The Mexican Kitchen by Rick Bayless Reversible Grill, Large, Black	When an item is so heavy you have to ask your husband to help you take it out of the box, you know already that this is not something you are going to enjoy using in your kitchen!<br />OK, maybe I should have read the fine print more carefully, but would anyone expect a grill that the cook is expected to position over stove burners and clean up manually afterwards to weigh 19 pounds? That may have been my fault, but I did read enough to reassure myself from the Amazon page that the grill was dishwasher safe; the manual, however, says to wash by hand with mild detergent, like most cast-iron.<br />I had hoped to use this grill in my oven as an adjunct to the normal broiler pan, but it is JUST too wide to do so. I started to slide it into the oven, but it was scraping the sides of the oven,so I desisted.  Its surface is rough enough that I fear it is also likely to scratch my glass cooktop, and the rough surface, large size, and weight make me also think it may scratch my sink when I clean it.<br />If I were big and strong, I think this might be a nice accessory for my outdoor grill, but it is not something I am willing to use in my kitchen. Sorry, Rick, no me gusta.
Jewelry	KATGI Fashion Austrian Crystals Heart Shape Pendant Necklace	I love it!!!! it is not cheep medal and it arrived on time and im really satisfied with the product!!!!!
Jewelry	Pair of 1 Inch Gauge (25mm) Silicone Rasta Plugs - Double Flare (SIL043)	Fit perfect! Exactly what I want and now I've ordered 5 more sets from urban body jewelry
Jewelry	O-stone Wishing Bead Earrings Series	Pretty, but the straight wire looks cheap & feels flimsy. Made me sad.
Kitchen	Universal Housewares Pre-Seasoned Cast Iron 3 Piece Skillet Set	well worth it!
Jewelry	Catholic Gift Saint St Christopher Travel Protection 6MM Bead 5 3/4 Inch Rearview Mirror Car Truck Auto Rosary	My daughter loved this so much when it arrived.  She wears it in her wrist! Is is well made and beautiful.
Jewelry	Gem Avenue Sterling Silver Swarovski Elements White Freshwater Pearl with Multicolor Crystal Ankle Bracelet 9 to 10 inch Adjustable	Beautiful. The photo doesn't do it justice!
Jewelry	Stunning Iridescent Pink Red Plum Opalescent Oval Acrylic Beads Goldtone Stretch Bracelet	Beautiful
Jewelry	Tzou Vintage Tibetan Silver Ethnic Gothic Oval Turquoise Inlay Wide Bangle Women	I love this little bracelet, it did turn my arm green though after the first wearing. :( So I can only give it about three stars. It is super cute, but needs to be coated.
Jewelry	"Miguel Ases Prehnite and Mother of Pearl Oval Drop Earrings, 1.35"""	I am disappointed in these earrings.  They are much smaller than expected and they look sort of glued together.  The part that is supposed to be mother of pearl looks rather like plastic up close.  Since I got them for only $34.00 I kept them.  They are not bad, just not nearly as nice as I expected for their original price of about $100.00.
Jewelry	CrazyPiercing 30 PCS (a lot) 316 surgical Steel Metal Tongue rings barbells body piercing	All pieces are great .! I like to switch my tongue rings out cause after a while they tend to get kinda nasty. You really can't beat the price on this .! And I love the designs. There is at least one thing for everyone .!
Kitchen	SunrisePro Knife Sharpener, USA patented, Original	wasn't sure if i would like it so i brought it to a beach rental as the knives are always dull and of medium to low quality.  It did a nice job sharpening up a set of Faberware knives with a little time.  Good purchase, works well!
Jewelry	INBLUE Men's 8mm Stainless Steel Stud Resin Earrings Black Silver Tone Tapers Plugs Tunnel	good
Kitchen	Marquis by Waterford Brookside 6-Ounce Champagne Flutes, Set of 4	Love them!
Kitchen	Berkey Stainless Steel Wire Stand with Rubberized Non-skid Feet for Gravity Fed Water Filter - 4 Sizes	Great addition to the Big Berkey.  This stand makes it so easy to put filtration system anywhere I want on my counter and put the glass right under the spout to fill 'er up!
Jewelry	Sterling Silver Live The Life You Love Reversible Pendant Necklace	Love it!! The chain is so delicate and the pendant is so pretty!!!
Jewelry	Mystic Knotwork Original (3-strand) Sailor Bracelet Made in USA	Well made and durable.
Jewelry	EVER FAITH Bridal Silver-Tone Teardrop Leaf Clear Austrian Crystal Necklace Earrings Set	Absolutely beautiful necklace and earrings. Thank you so much. Exactly what I wanted
Jewelry	"Sterling Silver Freshwater Cultured Pearl with Sapphire Halo Pendant Necklace, 18"""	This is a very beautiful necklace. The pendant is smaller than pictured, but is still large enough to be seen and look classy without being &#34;gaudy&#34;  The sterling silver box chain is nice, but I prefer a slightly longer chain, so I replaced it with one I already had. The pearl, as well as the other stones are securely fastened in place, with no sign of adhesive or fasteners.  The stones are very tight as well.  I think this is a lovely piece of jewelry, and I would not think twice about purchasing another piece of jewelry from this company.
Jewelry	Sterling Silver Oxidized Three Dimensional Airplane Charm Pendant with Polished Box Chain Necklace	Broke after 2 days
Jewelry	Wonder Woman Universe Super Hero Chain Fashion Stainless Metal Necklace	Love this necklace it was perfect.
Kitchen	Corelle Country Cottage Glass Cutting Board	Perfect for under my toaster oven.  Just what I was looking for.
Kitchen	Reusable Straws for Smoothies and Shakes. Heat Resistant for Coffee and Tea. Soft, Safe Silicone. Adults and Kids.	My wife and I were looking for reusable straws after we acquired iced coffee addictions and were burning through regular straws. I was unsure how I'd like using a silicone straw but after doing a simple wash as instructed they worked great and didn't have any sort of plasticky taste.The fact that they separate at the curve is also brilliant and makes them super easy to clean.<br /><br />Can't wait to buy more as gifts for family and friends!
Kitchen	Cookware Sets Pots and Pans ,Kitchen Cookware Set Non Stick 18 Pieces	thanks - good item
Kitchen	Chillz Ice Ball Maker - Black Flexible Silicone Ice Tray - Molds 4 X 4.5cm Round Ice Ball Spheres	Thought the spheres would be a little bigger but overall a great product!
Kitchen	CounterArt Absorbent Stoneware Car Coaster, Dragonfly	Very attractive; a fun, functional find.  Great in the car or at home.
Jewelry	Men's Stainless Steel Two-Tone Black Bike Chain Bracelet	Cheap
Kitchen	BLACK+DECKER 400-Watt Fruit and Vegetable Juice Extractor, Black, JE2200B	I just love my juicer. This was the first juicer that I purchased. It works well. Cleaning could be a little easier but other than that it works great. Juices  everything I love. You must cut your fruit in smaller pieces with this juicer.
Kitchen	Hamilton Beach 12-Cup Stack and Snap Food Processor (70725A)	Great product love it, would buy another
Kitchen	Disposable Cups for Use in Keurig Brewers - Simple Cups - 50 Cups, Lids, and Filters - Use Your Own Coffee in K-cups	These come in real handy for visitors make up some and keep on hand.Of course I use mine up when I'm lazy and don't want to make up a cup then wash it and put it away just use and toss.
Kitchen	Infuser Water Bottle (Orange)	I've used this bottle several times already and I really like. Great bottle for the price. I noticed that some customers stated that their bottle leaks, I haven't had that problem. I done all the leak test i could think of but mine doesn't leak. If you have a problem with leaks when you first get it make sure the lid is on properly. I will be ordering another bottle soon.
Jewelry	Solid Silver Sideways Cross Bangle Style .925 Sterling Silver Bracelet	It broke the first week i had it....
Jewelry	316L Surgical Steel 14g Clear Black Paved Heart Hollow Dangle Belly Navel Bar Ring Barbell Body Piercing	Item as decribed and adorable!!!
Kitchen	FoodWorks Silicone Ice Pop Maker Molds/Popsicle Molds, Set of 6	So far so good. Just have to be careful as there is a learning curve to opening and shutting them if the contents is even a little melted. I think maybe 8 and up could handle it in a lunchbox.
Kitchen	Reusable K-cups for Keurig 2.0 Brewers -Pack of 2	The thickness of the top doesnt allow the Keurig to close nicely, but it functions well.  What I like the best is that I no longer have to monkey with the stupid sensor that gave me grief when I used my other k-cups.  I just finished my first cup of joe from the k-cup and aside from adjusting my brew strength over the next couple of cups, it is ideal.<br /><br />FOR THOSE WONDERING, APPARENTLY THE MANUFACTURER DID SOMETHING WITH THE COLOR DIE IN THE TOP OF THE K-CUP THAT TELLS THE SENSOR THIS IS AN OFFICIAL K-CUP FOR A 2.0 MACHINE.  THIS IS PERFECT!
Kitchen	Zak Designs 19-1/2-Inch by 11-1/2-Inch Large Rectangular Tray	i love it
Jewelry	INPINK Fashion Jewelry Tear Drop Earrings With Rhinestones And Flower	I think these are very pretty earrings, and appear to be well made.
Jewelry	Turkish Murano Evil Eye Bracelet With Blessing Hamsa Hand Stretch	This is a very pretty bracelet and looks just like the picture.
Jewelry	Flower Of Life Leather Bracelet	Beautiful copper  but the wrist straps are a bit flimsy.  Love it though and it looks great.
Kitchen	Cuisinart DCC-1150 Classic 10-Cup Thermal Programmable Coffeemaker	This is my second one of these...my son took the first one for his new condo.  One of the secrets of really good coffee...it needs to be hot!  Great coffee maker!!
Jewelry	2.00 Carat Total Weight Sterling Silver Simulated Emerald Green Colored Round Cubic Zirconia Stud Earrings- May	Very nice earrings and great price. 10 yr old daughter loves them.
Jewelry	MIMI Sterling Silver Tarnish-Free Open Tree Of Life Ring w/Free Gift Box Size 5, 6, 7, 8, 9, 10, 11, 12	I lost a one of a kind Tree of Life ring and was pleased to find this similar ring.  Great buy and a perfect meaning.
Jewelry	Charmed Craft Heart Rose Pink Crystal Evil Eye Flower Skull Charms Beads	Smaller than thought but quality charm
Kitchen	Zeroll Original Ice Cream Scoop	Heavy-duty ice cream scoop made in the USA, hip hip hurray. It is weighty and sturdy. FYI, the &#34;color&#34; indicates the size of the scoop. It has nothing to do with coordinating with your kitchen. Blue is 3 ounces times two scoops for you and me, and everybody is happy as a clam. NOTE: as instructions clearly state. Do NOT wash in dishwasher. I have other similar aluminum ice cream scoopers and have never had an issue with corrosion.
Jewelry	"EIGA Mother's Day Gift ""I Love You To The Moon and Back"" Two-Piece Pendant Necklace"	I got this for my mom and she loves it.
Jewelry	14 Karat White Gold Pear Shape 2.50 Carats Created Blue Sapphire Diamond Pendant	A winner, my wife liked it.
Jewelry	JewelrieShop Genuine Leather Bracelet Horoscope Bracelet with Constellation Zodiac Sign and Zodiac Charm	Very nice, but broke almost immediately
Jewelry	April Cubic Zirconia Birthstone, Sterling Tear Ash Holder Necklace	I'm so happy with this purchase.  It is more beautiful in person.  Good quality.  I did buy a different chain.  I needed it to be a bit longer & more sturdy.  I had difficulty getting the cremains in using the funnel, so I used to spoon provided & carefully &#34;poured&#34; them in.  This necklace holds a lot so be patient.  Shipping was fast.
Jewelry	Alex and Ani Neptune's Protection Larkspur Expandable Wire Bangle Bracelet	Made in America. Ox
Kitchen	Egg Poacher Cups (4 Pack)	As someone who loves to cook in the kitchen and enjoys a nice poached egg, I was eager to try the Silicone Egg Poacher 4 Pack by Kitchen Essentials.  I have never tried anything like this before, so I was excited to see how it worked out.I like that all of the egg stays in the silicone cup and I don't lose any in the pot like I normally do. Nothing stuck and they were easily cleaned with soap and water. I put wooden skewers through the holes to keep it stable on the rim of the simmering water and melted some chocolate too.  I am going to try other ways to use these egg poachers.  I think they are really nice and work good.  I received this product in exchange for a review. All my opinions are my own, based on my personal experience with the product. I am disclosing this in accordance with the Federal Trade Commission’s 16 CFR, Part 255: Guides Concerning the Use of Endorsements and Testimonials in Advertising
Jewelry	Egyptian Jewelry Silver Ankh of Life Filigree Ring	This is my favorite ring! I have had it for about two years and barely ever take it off. It is very sturdy, awesome details and I get a lot of compliments for it!
Jewelry	ILOVEDIY ILOVEDIY 1pairs 80mm Rhinestone Plated Silver Hoop Earrings Big Circle Earring for Women	Excellent Item
Kitchen	BlenderBottle Classic Loop Top Shaker Bottle, Clear/Black, 20-Ounce Loop Top	I really like this bottle. Very well made, and the wide body construction makes it easy to clean.
Kitchen	The Original EDGY Wine Foil Cutter Accessory with Stunning Gift Box, Easy Wine Bottle Opening for Wine Lovers, Red	I used to gaze at the fancier bottles of wine in my collection yearning to drink them, but completely befuddled as to how to find the bottle's cork.  I knew the cork was hiding somewhere underneath the shiny metal foil firmly affixed to the bottle neck, shimmering like an elusive mirage.  However, attempts to remove this stubborn oenophilic chastity belt with a knife or a scissors proved futile, and on one occasion practically fatal.  While awaiting paramedics to arrive after severing a major artery and collapsing face down in a puddle of my own blood, I vowed to never again risk my own life attempting to remove another dastardly wine foil.<br /><br />And so I was sadly relegated to drinking screw-top bottles of wine, doomed to live a pathetic, solitary life.  I soon learned that nobody wants to be with a man who only drinks screw top or boxed wines; that's no a man, that's a child.  Feeling hopeless and lonely, I decided to cash in my life savings and move to Minsk where I could spend the rest of my days drowning my sorrows in bottles of vodka with easily removable caps.<br /><br />In a shocking twist of fate, on the morning of the day I was set to leave on a one-way flight to Minsk with no possibility of return, I happened upon an advertisement for a life-saving product called Edgy.  Edgy provides a safe, reliable way to remove wine foils with no messes and no accidents.  Now, the fancy bottles of wine that used to mock and taunt me are crushed like ladybugs.  I guzzle Domaine Leflaive Montrachets, Screaming Eagle Cabernets, and Henri Jayer Richebourg Cotes de Nuits like bottles of water, all thanks to Edgy.  Yes, I am now drunk literally all of the time, but I'm also happily married (I think) to a woman (I think) who is stunningly beautiful (I think).  And it's all because of Edgy.<br /><br />So thank you, Edgy, for saving my life.
Kitchen	Vacuum Sealer Bags	Works great! Cannot see any difference in the popular name brand and these.
Kitchen	Rubbermaid Modular Cereal Keeper Container, 22 Cup, Large	a little bigger than i had imagined.but well made.
Kitchen	Weston Vacuum Sealer	This is the best home vacuum sealer on the market! Bar None! I have given my Food Saver to the Goodwill.
Jewelry	Sterling Silver Rolo-Chain Necklace	I chose to overlook the fact that this is NOT A ROLLO CHAIN, as stated in the description and as shown in the photo.  That was my first mistake.  Anyway, after initial inspection, I put the necklace, unworn, back into the box, where it sat for almost two months (long story).  When I removed it from the box to wear it today, it had TARNISHED IN THE BOX, UNWORN!!!<br /><br />This vendor is not sending the product it promised and the product that is being sent is of grossly inferior quality.  Do yourself a favor and do not waste your time or money.
Jewelry	"Cavalier Jewelers 8MM Men's Black Titanium Masonic Ring Engraved ""VIRTUS JUNXIT MORS NON SEPARABIT"""	Excellent quality and shipping. Very pleased with the product.  Many of may fellow Masons would enjoy the ring.
Jewelry	Lapis Lazuli Wrist Mala/ Bracelet for Meditation	but the string wont last...
Kitchen	"BigMouth Inc Grenade Mug - ""Take a Number"" Ceramic Funny Coffee, Tea, Hot Chocolate Mug Gift"	Love it
Kitchen	Emeril Pre-Seasoned Cast Iron Vertical Poultry Roaster	1st use produced a very nice, well browned and juicy bird. Added potato and onion to the tray and they cooked up very nicely. I've used it both on the grill and in the oven...works equally well. Order of magnitude better than fussing with beer cans or pedestals. Recommend it......it's worth the investment.
Kitchen	Zojirushi NP-HCC10XH Induction Heating System Rice Cooker and Warmer	Liked the rice cooker, but the cords can get in the way and the paddle holder could also be better designed.  I sure wished it was retractable cord.  Small convience can go a long way in higher rating.
Kitchen	"Mind Reader ""Anchor"" Coffee Pack Drawer for Keurig Vue Packs, Keurig K-Cups, Nespresso Capsules, CBTL/Verismo Pods or Tassimo T-Discs"	I like the drawers because it keeps the coffee cups organized and conserves space. Overall looks nice, only complaint is the drawers. They are a little loose but overall still a good purchase.
Jewelry	3.50MM Sterling Silver 925 Cubic Zirconia CZ Eternity Engagement Wedding Band Ring	love this ring! wear it during cold season to insure my diamond engagement ring wont fall off...
Kitchen	Matfer Bourgeat 310812 Smooth/Edgeless Baking Sheet	Just bad! sent it back to Mfg!
Kitchen	Le Creuset Demi Teakettle	Perfect!
Kitchen	Game of Thrones 22oz Ceramic Map Beer Stein	This is my 2nd one as I accidentally broke the first (Christmas Gift). Very well made, and works very well hot chocolate.
Kitchen	BlenderBottle Classic Shaker Bottle	It was exactly what I wanted. Easy to clean, easy to use, and pink! Which is important.
Kitchen	Oenophilia Wine Preserver with Two Stoppers	This is the perfect wine preserver.
Jewelry	Platinum-Plated Sterling Silver Round-Cut  Swarovski Zirconia Stud Earrings (2 cttw), also Available in Sets	So pretty and sparly. While I think maybe the necklace might be a bit much, I have my eye on the matching bracelet.
Kitchen	Omega J8004 Nutrition Center Commercial Masticating Juicer, White	This juicer is actually really terrible! I read a lot of reviews and ended up getting this one. Had it a couple years and find it just is not useful. The small feed tube requires you to spend a lot of time prepping before you can actually juice. And this juicer does NOT does well with squishy fruit. Forget about juicing pineapple... it does not work. Anything squishy does not get pushed through the matiscator and you have to empty out the entire assembly to continue juicing. I would NOT recommend this to anyone who actually wants to juice regularly. You will spend way to much time for the whole process.
Kitchen	10 Cup / 1.7 Liter Capri Stainless Steel Cordless Electric Kettle by ZUCCOR (BOIL-DRY PROTECTED / U.K. MADE HEAT CONTROL)	it is every ting and more
Jewelry	Polished Green Jade Slip-On Bangle Bracelet	Too small
Kitchen	Monbento MB Original Bento Box	i looove this!!
Kitchen	Wusthof Classic Flexible Boning Knife	Great Knife I use it a lot.
Kitchen	Primeware Clutch Insulated Single Bottle Wine Tote, Blue/Green Burmese	I use this awesome bag as a handbag! Love it!
Kitchen	Maverick Electronic Thermometer and Timer	This has been so easy to use and accurate. Love it.
Kitchen	Cuisinart Roaster	Do not buy!  The coating peeled off on the first use...So much for doing gravy with the drippings!
Kitchen	LayaStore 12 PCS 3D Yellow Butterfly Stickers Making Stickers Wall Stickers Crafts Butterflies(Model:40X,Package Quantity:1)	Very cute!
Kitchen	VICTORIO VKP250 Food Strainer and Sauce Maker	This unit replaces a sqeezo that had been in my family for 40 years, works great. Easy cleanup. I also bought the  4 piece accessory kit for salsa<br />and berry sleeve(Jam).
Kitchen	Doctor Who Sports PVC Front Backpack	Smaller then it looks in the pic but just the right size for Pre-K!
Jewelry	"Bracelet Leather""chai""(life) "" Israel Lives ""Jewish Symbol Israel Judaica Wristband Black"	I absolutely love my bracelet. I wear it every day. It means the world to me. Thank you to the holy land souvenir. I am looking to buy another one but I will see it's no longer available right now. Do you know if this item will be selling again?
Kitchen	SunrisePro Knife Sharpener, USA patented, Original	This product is fantastic.  I was wary of the hype in the description but it is very simple to use and I sharpened all of my knives in a  few minutes - and they are VERY sharp - like new.  Its hard to tell from the picture that this sharpener is less than 3 inches wide and tall, so it fits easily in my knife drawer.
Jewelry	Top Quality 925 Sterling Silver Rhodium Plated Bar Necklace	The chain and bar are delicate and cute! The bar itself is approximately 2 inches wide. The only issue I've seen on myself so far is that sometimes the bar portion doesn't lie horizontally, but scoots up to be diagonal. It's cute and I would order another one!
Kitchen	EZ Off Jar Opener For All Jar Sizes, White	Super handy
Kitchen	OXO Good Grips Coffee and Tea POP Container	After a month, I like the container a lot. It can hold one pound of whole coffee beans. It seems to keep the coffee fresh..The opener works smoothly.
Kitchen	Tovolo Groovy Ice Pop Molds, Spring Green set of 6, 2-pack	very well made. Makes good size popsicles.
Jewelry	Non-piercing Septum Jewelry: Gold Silver Tone Tribal Hanger 4 pcs Nose Ring (No Piercing Required)	One of these broke when I tried to lightly adjust the size
Jewelry	INBLUE Men,Women's 2 PCS Stainless Steel Pendant Necklace CZ Black Silver Gold Tone Blade Couple -With 20 and 23 Inch Chain	Love it, just perfect.
Kitchen	IDEA VILLAGE PRODUCTS SNAKZ Snackeez Snack & Drink Cup, Multicolor	I ordered two of these cups expecting assorted colors, instead I received two of the exact same colors so that was a little disappointing.  So.....it's just ok.
Kitchen	Dr. Joe Silicone Silicon Lids Covers Perfect Suction Seal for Kitchen Home Utensils 5-Piece Set	Great!
Kitchen	Sunbeam Products T03-0023-01P Wide-Mouth Jar Sealer	Absolutely love this product. Works great with the food saver. I make fresh juice and salads in wide mouth jars and using this sealer allows it to stay fresh for about a week.
Jewelry	Unistyle 4 Pairs Set Hoop Earrings Black Blue Gold Silver	When I first got these, I noticed the awesome gift box they came in. Then, inside were 4 individually wrapped packages of ear rings. The colors are vibrant and beautiful. I love that they are hinged and they have a locking clasp so they don't accidently fall out of your ears. I have been wearing these for 2 days now and they are lightweight and beautiful. They go with anything I could wear them with and they are sturdy enough for me to wear them 24/7 and not have to worry about taking them out at night.<br />*I received this product at a discount for my honest, unbiased review*
